del_size	fq
0	4288
-1	557
-2	1178
-3	131
-4	568
-5	605
-6	667
-7	280
-8	153
-9	152
-10	35
-11	308
-12	28
-13	201
-14	80
-15	165
-16	9
-17	22
-18	13
-19	2
-20	12
-21	7
-22	10
-23	4
-24	2
-25	3
-26	24
-27	4
-28	3
-29	3
-30	2
-31	2
-32	2
-33	6
-34	0
-35	3
-36	9
-37	2
-38	21
-39	2
-40	0
-41	0
-42	0
-43	0
-44	3
-45	4
