del_size	fq
0	41647
-1	709
-2	2132
-3	247
-4	708
-5	1101
-6	1153
-7	1330
-8	418
-9	357
-10	135
-11	313
-12	71
-13	355
-14	247
-15	235
-16	32
-17	121
-18	50
-19	29
-20	3
-21	15
-22	23
-23	20
-24	8
-25	5
-26	52
-27	19
-28	11
-29	12
-30	8
-31	1
-32	0
-33	1
-34	7
-35	14
-36	32
-37	0
-38	32
-39	2
-40	10
-41	2
-42	0
-43	1
