del_size	fq
0	63103
-1	8692
-2	1219
-3	966
-4	464
-5	1161
-6	425
-7	509
-8	135
-9	108
-10	116
-11	69
-12	36
-13	21
-14	20
-15	46
-16	21
-17	37
-18	6
-19	12
-20	24
-21	6
-22	1
-23	5
-24	26
-25	11
-26	3
-27	3
-28	4
-29	7
-30	1
-31	14
-32	4
-33	15
-34	2
-35	0
-36	3
-37	3
-38	0
-39	3
-40	2
-41	2
-42	9
-43	0
-44	29
-45	6
