del_size	fq
0	40801
-1	662
-2	1870
-3	275
-4	693
-5	917
-6	1086
-7	1265
-8	319
-9	454
-10	64
-11	220
-12	30
-13	301
-14	196
-15	271
-16	22
-17	59
-18	71
-19	34
-20	40
-21	28
-22	34
-23	9
-24	6
-25	37
-26	65
-27	3
-28	3
-29	0
-30	0
-31	0
-32	1
-33	10
-34	0
-35	0
-36	14
-37	0
-38	21
-39	5
-40	8
-41	4
-42	6
-43	2
