del_size	fq
0	38701
-1	496
-2	1480
-3	255
-4	678
-5	785
-6	1025
-7	1005
-8	352
-9	362
-10	73
-11	238
-12	28
-13	302
-14	248
-15	180
-16	18
-17	60
-18	27
-19	17
-20	17
-21	16
-22	24
-23	13
-24	11
-25	1
-26	29
-27	0
-28	12
-29	3
-30	5
-31	13
-32	0
-33	21
-34	0
-35	0
-36	26
-37	5
-38	9
-39	1
-40	11
-41	0
-42	2
