indel_size	fq
-31	27
-30	12
-29	0
-28	5
-27	548
-26	200
-25	14
-24	6
-23	20
-22	63
-21	60
-20	77
-19	162
-18	61
-17	22
-16	34
-15	32
-14	48
-13	118
-12	274
-11	560
-10	112
-9	684
-8	518
-7	5667
-6	547
-5	1662
-4	4437
-3	1753
-2	1497
-1	4144
0	101852
1	41853
2	1446
3	17
4	13
5	3
6	4
7	3
8	4
9	7
10	12
11	2
12	0
13	5
14	2
15	3
16	2
17	1
18	1
19	1
20	0
21	0
22	0
23	0
24	2
25	0
26	0
27	2
28	0
29	0
30	1
31	0
32	0
33	1
