indel_size	fq
-45	10
-44	4
-43	2
-42	3
-41	0
-40	9
-39	0
-38	21
-37	4
-36	31
-35	6
-34	1
-33	11
-32	11
-31	8
-30	4
-29	5
-28	6
-27	9
-26	92
-25	10
-24	4
-23	22
-22	25
-21	10
-20	14
-19	26
-18	34
-17	44
-16	20
-15	486
-14	229
-13	710
-12	84
-11	244
-10	111
-9	334
-8	407
-7	746
-6	1768
-5	1022
-4	1632
-3	502
-2	2867
-1	1725
0	14725
1	83
2	21
3	14
4	12
5	2
6	13
7	13
8	11
9	9
10	12
11	5
12	11
13	8
14	3
15	18
16	6
17	4
18	4
19	6
20	4
21	5
22	0
23	8
24	1
25	1
26	9
27	2
28	2
29	3
30	1
