del_size	fq
0	15015
-1	1725
-2	2867
-3	503
-4	1632
-5	1022
-6	1768
-7	746
-8	407
-9	334
-10	111
-11	244
-12	84
-13	710
-14	229
-15	486
-16	20
-17	44
-18	34
-19	26
-20	14
-21	10
-22	25
-23	22
-24	4
-25	10
-26	92
-27	9
-28	6
-29	5
-30	4
-31	8
-32	11
-33	11
-34	1
-35	6
-36	31
-37	4
-38	21
-39	0
-40	9
-41	0
-42	3
-43	2
-44	4
-45	10
