del_size	fq
0	56380
-1	900
-2	2635
-3	549
-4	887
-5	1697
-6	2632
-7	1211
-8	267
-9	232
-10	239
-11	232
-12	101
-13	287
-14	171
-15	183
-16	20
-17	59
-18	17
-19	50
-20	45
-21	35
-22	62
-23	2
-24	22
-25	20
-26	19
-27	0
-28	0
-29	3
-30	3
-31	2
-32	12
-33	14
-34	0
-35	2
-36	20
-37	0
-38	33
-39	6
-40	0
-41	0
-42	0
-43	5
