indel_size	fq
-32	7
-31	13
-30	0
-29	22
-28	8
-27	5
-26	60
-25	11
-24	8
-23	9
-22	26
-21	15
-20	56
-19	20
-18	37
-17	26
-16	181
-15	34
-14	19
-13	53
-12	58
-11	94
-10	121
-9	223
-8	184
-7	317
-6	523
-5	951
-4	1149
-3	902
-2	386
-1	1090
0	17463
1	95
2	1
3	0
4	5
5	0
6	0
7	1
8	2
9	0
10	1
11	0
12	0
13	0
14	3
15	1
16	0
17	1
18	0
19	2
20	0
21	3
22	2
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	2
