del_size	fq
0	5874
-1	914
-2	1670
-3	184
-4	1054
-5	687
-6	1178
-7	435
-8	222
-9	239
-10	76
-11	178
-12	45
-13	284
-14	137
-15	248
-16	13
-17	20
-18	20
-19	8
-20	16
-21	7
-22	3
-23	6
-24	4
-25	1
-26	35
-27	5
-28	3
-29	1
-30	2
-31	1
-32	3
-33	8
-34	0
-35	1
-36	24
-37	4
-38	11
-39	1
-40	6
-41	0
-42	0
-43	2
-44	3
-45	4
