del_size	fq
0	41426
-1	1506
-2	7989
-3	916
-4	580
-5	442
-6	204
-7	92
-8	131
-9	166
-10	105
-11	15
-12	29
-13	7
-14	49
-15	44
-16	16
-17	11
-18	8
-19	13
-20	13
-21	10
-22	32
-23	1
-24	3
-25	1
-26	2
-27	1
-28	4
-29	9
-30	13
-31	0
-32	0
-33	41
-34	3
-35	3
-36	2
-37	0
-38	0
-39	5
-40	7
-41	5
-42	0
-43	0
-44	0
-45	24
