indel_size	fq
-36	1
-35	4
-34	1
-33	6
-32	5
-31	2
-30	2
-29	1
-28	1
-27	3
-26	1
-25	0
-24	110
-23	5
-22	9
-21	13
-20	22
-19	33
-18	56
-17	8
-16	6
-15	8
-14	37
-13	23
-12	100
-11	46
-10	88
-9	71
-8	186
-7	374
-6	800
-5	395
-4	121
-3	177
-2	426
-1	1693
0	65207
1	120
2	7
3	4
4	0
5	8
6	3
7	9
8	0
9	1
10	0
11	5
12	1
13	3
14	1
15	0
16	0
17	0
18	0
19	0
20	0
21	2
22	0
23	1
