del_size	fq
0	65155
-1	692
-2	2244
-3	327
-4	990
-5	1364
-6	2461
-7	880
-8	231
-9	225
-10	165
-11	230
-12	49
-13	206
-14	100
-15	203
-16	28
-17	45
-18	18
-19	17
-20	16
-21	0
-22	8
-23	0
-24	11
-25	3
-26	29
-27	0
-28	16
-29	0
-30	11
-31	0
-32	0
-33	0
-34	7
-35	8
-36	8
-37	5
-38	15
-39	0
-40	0
-41	0
-42	0
-43	5
