indel_size	fq
-29	7
-28	3
-27	0
-26	4
-25	0
-24	2
-23	1
-22	6
-21	1
-20	3
-19	0
-18	12
-17	0
-16	28
-15	2
-14	0
-13	6
-12	3
-11	3
-10	13
-9	36
-8	21
-7	52
-6	88
-5	316
-4	271
-3	165
-2	263
-1	397
0	31399
1	619
2	4
3	0
4	4
5	1
6	0
7	0
8	1
9	0
10	1
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	3
21	0
22	0
23	0
24	1
