del_size	fq
0	124193
-1	4651
-2	11845
-3	2820
-4	5979
-5	7938
-6	8525
-7	1718
-8	798
-9	839
-10	445
-11	726
-12	217
-13	1967
-14	631
-15	2075
-16	36
-17	75
-18	35
-19	82
-20	48
-21	27
-22	81
-23	52
-24	10
-25	17
-26	300
-27	6
-28	0
-29	13
-30	15
-31	79
-32	15
-33	3
-34	8
-35	38
-36	128
-37	9
-38	104
-39	1
-40	54
-41	8
-42	22
-43	17
