indel_size	fq
-31	91
-30	107
-29	94
-28	0
-27	131
-26	80
-25	125
-24	96
-23	69
-22	104
-21	32
-20	404
-19	746
-18	665
-17	182
-16	252
-15	131
-14	321
-13	373
-12	298
-11	586
-10	114
-9	279
-8	227
-7	514
-6	195
-5	589
-4	219
-3	328
-2	526
-1	540
0	90000
1	6019
2	236
3	77
4	89
5	0
6	0
7	0
8	0
9	0
10	14
11	0
12	0
13	0
14	16
15	0
16	0
17	0
18	41
19	23
20	0
21	0
22	44
23	0
24	0
25	25
26	0
27	0
28	0
29	0
30	38
31	43
