indel_size	fq
-32	6
-31	0
-30	0
-29	0
-28	0
-27	0
-26	0
-25	0
-24	10
-23	7
-22	15
-21	0
-20	14
-19	7
-18	0
-17	0
-16	0
-15	9
-14	13
-13	4
-12	37
-11	17
-10	9
-9	29
-8	129
-7	42
-6	473
-5	100
-4	57
-3	85
-2	96
-1	727
0	22223
1	3267
2	29
3	0
4	1
5	0
6	0
7	0
8	0
9	5
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	9
29	0
30	0
31	0
32	2
33	0
34	0
35	0
36	0
37	0
38	2
