del_size	fq
0	22113
-1	3678
-2	5390
-3	723
-4	2894
-5	1875
-6	3280
-7	1478
-8	793
-9	855
-10	209
-11	405
-12	147
-13	1194
-14	447
-15	933
-16	37
-17	89
-18	46
-19	29
-20	27
-21	32
-22	26
-23	28
-24	18
-25	22
-26	99
-27	9
-28	7
-29	6
-30	9
-31	21
-32	5
-33	9
-34	8
-35	22
-36	74
-37	12
-38	44
-39	4
-40	35
-41	3
-42	4
-43	14
-44	18
-45	48
-46	4
