indel_size	fq
-23	13
-22	0
-21	29
-20	0
-19	9
-18	17
-17	0
-16	4
-15	31
-14	9
-13	5
-12	1
-11	120
-10	110
-9	444
-8	414
-7	211
-6	474
-5	309
-4	440
-3	522
-2	133
-1	94
0	107657
1	1122
2	9
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	13
20	0
21	0
22	0
23	0
24	0
25	0
26	1
27	0
28	0
29	0
30	7
31	19
32	8
33	4
