del_size	fq
0	12573
-1	1143
-2	2928
-3	647
-4	1484
-5	889
-6	2322
-7	567
-8	345
-9	246
-10	136
-11	277
-12	60
-13	714
-14	237
-15	781
-16	30
-17	24
-18	5
-19	18
-20	4
-21	14
-22	11
-23	8
-24	1
-25	15
-26	93
-27	5
-28	0
-29	7
-30	14
-31	16
-32	2
-33	13
-34	4
-35	4
-36	48
-37	12
-38	76
-39	8
-40	7
-41	0
-42	3
-43	7
