indel_size	fq
-34	2
-33	1
-32	0
-31	5
-30	1
-29	6
-28	2
-27	1
-26	13
-25	3
-24	2
-23	2
-22	12
-21	5
-20	15
-19	10
-18	18
-17	16
-16	85
-15	8
-14	22
-13	31
-12	29
-11	30
-10	54
-9	167
-8	128
-7	178
-6	284
-5	491
-4	647
-3	540
-2	256
-1	624
0	24332
1	33
2	2
3	0
4	3
5	0
6	0
7	0
8	3
9	0
10	3
11	1
12	0
13	0
14	0
15	0
16	1
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	0
25	0
26	0
27	1
28	2
