del_size	fq
0	101982
-1	1150
-2	2860
-3	785
-4	1384
-5	1025
-6	2092
-7	583
-8	183
-9	178
-10	92
-11	160
-12	59
-13	382
-14	154
-15	389
-16	10
-17	19
-18	0
-19	9
-20	14
-21	11
-22	11
-23	31
-24	0
-25	7
-26	34
-27	0
-28	3
-29	30
-30	9
-31	3
-32	0
-33	8
-34	6
-35	9
-36	37
-37	6
-38	39
-39	0
-40	4
-41	0
-42	0
-43	2
