indel_size	fq
-29	6
-28	3
-27	3
-26	9
-25	0
-24	0
-23	4
-22	11
-21	0
-20	4
-19	4
-18	5
-17	1
-16	33
-15	0
-14	2
-13	2
-12	4
-11	11
-10	7
-9	45
-8	76
-7	110
-6	77
-5	431
-4	405
-3	182
-2	394
-1	705
0	35627
1	1601
2	0
3	1
4	0
5	0
6	0
7	0
8	5
9	1
10	0
11	0
12	0
13	4
14	0
15	6
16	4
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	1
