indel_size	fq
-45	1
-44	0
-43	1
-42	1
-41	0
-40	2
-39	1
-38	0
-37	0
-36	2
-35	0
-34	1
-33	0
-32	0
-31	0
-30	2
-29	1
-28	5
-27	0
-26	5
-25	0
-24	1
-23	1
-22	0
-21	0
-20	0
-19	4
-18	5
-17	13
-16	7
-15	38
-14	14
-13	17
-12	7
-11	36
-10	14
-9	13
-8	26
-7	62
-6	313
-5	149
-4	148
-3	42
-2	366
-1	199
0	20467
1	833
2	12
3	1
4	1
5	1
6	0
7	0
8	0
9	0
10	0
11	3
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	1
30	1
