del_size	fq
0	21321
-1	199
-2	366
-3	42
-4	148
-5	149
-6	313
-7	62
-8	26
-9	13
-10	14
-11	36
-12	7
-13	17
-14	14
-15	38
-16	7
-17	13
-18	5
-19	4
-20	0
-21	0
-22	0
-23	1
-24	1
-25	0
-26	5
-27	0
-28	5
-29	1
-30	2
-31	0
-32	0
-33	0
-34	1
-35	0
-36	2
-37	0
-38	0
-39	1
-40	2
-41	0
-42	1
-43	1
-44	0
-45	1
